epoch	train/d_loss	train/g_loss	train/lr
1	96.74636	821.4099	1e-04
2	66.398254	722.31604	1e-04
3	58.110237	677.02747	1e-04
4	48.93187	641.2319	1e-04
5	39.41405	615.9526	1e-04
6	33.321014	599.1762	1e-04
7	29.825989	587.7448	1e-04
8	27.997355	579.72284	1e-04
9	25.015772	570.54926	1e-04
10	23.669329	565.108	1e-04
11	22.23259	556.99744	1e-04
12	21.08537	549.02106	1e-04
13	19.979597	543.1819	1e-04
14	18.775988	538.4864	1e-04
15	18.806162	533.0525	1e-04
16	18.155947	529.0088	1e-04
17	17.03109	525.123	1e-04
18	16.888714	521.7336	1e-04
19	16.126297	517.81537	1e-04
20	15.663634	514.53174	1e-04
21	14.423828	510.77228	1e-04
22	14.306276	508.43527	1e-04
23	13.9387865	505.37506	1e-04
24	13.589726	502.8374	1e-04
25	13.096151	500.63297	1e-04
26	12.753769	497.71445	1e-04
27	11.929761	496.05823	1e-04
28	11.9056	493.48935	1e-04
29	11.40122	494.07144	1e-04
30	11.94073	489.5959	1e-04
31	11.14636	488.4982	1e-04
32	10.385728	487.15866	1e-04
33	10.444029	485.3921	1e-04
34	10.473637	483.41754	1e-04
35	10.287632	481.76736	1e-04
36	9.535082	479.5951	1e-04
37	9.37622	477.36258	1e-04
38	9.753129	477.508	1e-04
39	9.718189	475.52597	1e-04
40	9.7775755	474.93744	1e-04
41	8.863209	472.55133	1e-04
42	9.157131	471.92078	1e-04
43	8.607239	470.02316	1e-04
44	8.263047	468.46027	1e-04
45	7.927306	469.68643	1e-04
46	7.921671	468.30472	1e-04
47	8.1537695	466.0625	1e-04
48	7.5129223	465.37598	1e-04
49	7.6115565	463.52963	1e-04
50	7.5710106	462.77573	1e-04
51	7.640761	462.73764	1e-04
52	7.173313	460.38675	1e-04
53	6.492869	459.3646	1e-04
54	7.3473544	458.0938	1e-04
55	6.981742	457.89764	1e-04
56	7.053659	456.99695	1e-04
57	6.2757344	455.32385	1e-04
58	6.892897	455.55115	1e-04
59	6.3185396	454.41208	1e-04
60	6.2198577	453.4382	1e-04
