epoch	train/d_loss	train/g_loss	train/lr
0	143.54616	735.4341	1e-04
1	110.39949	661.62103	1e-04
2	98.63901	631.9832	1e-04
3	97.38292	604.9731	1e-04
4	96.34307	584.8352	1e-04
5	93.69883	573.40375	1e-04
6	91.19563	562.4529	1e-04
7	89.10653	552.55237	1e-04
8	87.10373	542.97894	1e-04
9	84.651855	535.7374	1e-04
10	82.77243	531.09717	1e-04
11	80.786606	526.3263	1e-04
12	78.722786	524.8156	1e-04
13	76.11708	519.4182	1e-04
14	74.59795	516.70056	1e-04
15	73.535484	514.94257	1e-04
16	72.12625	512.4646	1e-04
17	70.809204	512.24866	1e-04
18	68.53356	509.50522	1e-04
19	67.98652	508.03223	1e-04
20	66.73583	506.64542	1e-04
21	65.31733	506.3855	1e-04
22	64.33818	503.38153	1e-04
23	63.001545	502.03857	1e-04
24	62.573975	500.5985	1e-04
25	61.344677	500.5657	1e-04
26	60.2347	499.1405	1e-04
27	59.547695	498.56107	1e-04
28	56.84188	498.05615	1e-04
29	54.133617	500.30728	1e-04
30	52.660114	499.3274	1e-04
31	50.777893	500.02057	1e-04
32	49.904346	500.77686	1e-04
33	48.899536	500.46054	1e-04
34	48.60359	499.66028	1e-04
35	47.51962	499.66376	1e-04
36	46.843685	498.1138	1e-04
37	45.986214	496.84802	1e-04
38	45.99408	495.55594	1e-04
39	45.153034	496.03897	1e-04
40	44.93736	494.7689	1e-04
41	43.76513	494.20334	1e-04
42	43.648075	492.76898	1e-04
43	42.68433	493.86774	1e-04
44	42.77742	492.37265	1e-04
45	41.796448	492.48898	1e-04
46	41.256622	490.59503	1e-04
47	39.82088	491.43265	1e-04
48	39.946842	490.67096	1e-04
49	39.205208	488.7982	1e-04
50	37.642956	489.6009	1e-04
51	36.861763	488.33813	1e-04
52	37.5232	487.716	1e-04
53	36.691692	488.10962	1e-04
54	35.967503	486.49582	1e-04
55	35.90386	485.90338	1e-04
56	35.10359	486.31134	1e-04
57	34.994377	485.6909	1e-04
58	33.6882	483.82712	1e-04
59	33.44806	485.11093	1e-04
60	32.001957	484.0837	1e-04
61	31.74816	484.48346	1e-04
62	31.281939	483.21652	1e-04
63	30.491358	483.51315	1e-04
64	29.55386	482.31122	1e-04
65	30.215258	482.36874	1e-04
66	29.032253	481.71902	1e-04
67	28.449593	480.74716	1e-04
68	28.55476	480.44675	1e-04
69	27.70175	479.38745	1e-04
70	26.43562	479.05008	1e-04
71	24.602554	477.66885	1e-04
72	24.811554	477.6736	1e-04
73	24.449707	478.67642	1e-04
74	23.117859	476.0513	1e-04
75	22.43687	476.2208	1e-04
76	22.68438	474.42288	1e-04
77	21.95305	476.11014	1e-04
78	21.943962	473.10098	1e-04
79	21.893337	476.49948	1e-04
80	22.3052	473.38718	1e-04
81	18.651344	472.6931	1e-04
82	19.592674	471.32486	1e-04
83	19.231943	471.12296	1e-04
84	18.380688	469.69626	1e-04
85	17.964975	468.90033	1e-04
86	17.358953	468.39175	1e-04
87	17.099394	467.3419	1e-04
88	17.104	470.04282	1e-04
89	18.656025	469.30917	1e-04
90	17.016424	464.5225	1e-04
91	13.986135	464.7262	1e-04
92	16.440372	466.36325	1e-04
93	19.268858	461.90045	1e-04
94	13.190681	463.9649	1e-04
95	14.847696	463.40314	1e-04
96	14.599483	462.73203	1e-04
97	15.015611	464.0426	1e-04
98	13.532378	461.71848	1e-04
99	12.809248	459.19653	1e-04
100	13.715729	463.7815	1e-04
101	13.207157	459.7957	1e-04
102	13.502554	459.59393	1e-04
103	11.626249	459.31842	1e-04
104	12.93342	459.30023	1e-04
105	11.9148035	458.5285	1e-04
106	11.952213	457.16388	1e-04
107	11.741069	457.12247	1e-04
108	12.516663	457.71286	1e-04
109	9.810046	455.58194	1e-04
110	10.4903345	453.37006	1e-04
111	10.792435	456.6787	1e-04
112	10.074217	453.4339	1e-04
113	10.996025	454.97375	1e-04
114	11.24194	454.4537	1e-04
115	9.657153	453.7391	1e-04
116	11.248365	454.60583	1e-04
117	9.692711	452.95013	1e-04
118	9.908498	453.16556	1e-04
119	10.155289	452.1008	1e-04
120	10.004292	453.86218	1e-04
121	10.423273	452.875	1e-04
122	9.621595	449.5489	1e-04
123	8.365508	448.47635	1e-04
124	9.461717	450.1181	1e-04
125	10.06822	454.0994	1e-04
126	9.370011	451.81348	1e-04
127	8.530081	450.66895	1e-04
128	8.57271	448.91727	1e-04
129	9.322549	451.60425	1e-04
130	8.897453	447.2705	1e-04
131	8.988488	448.32004	1e-04
132	8.621506	449.10657	1e-04
133	7.6564713	449.0819	1e-04
134	8.506733	446.76367	1e-04
135	8.348565	444.7705	1e-04
136	8.589621	444.1197	1e-04
137	9.171817	444.77005	1e-04
138	8.111557	445.95892	1e-04
139	7.00331	443.0752	1e-04
140	8.133305	443.5894	1e-04
141	7.021394	443.40356	1e-04
142	7.293569	442.94492	1e-04
143	6.369721	440.4245	1e-04
144	7.4433074	441.3039	1e-04
145	7.1639476	442.83505	1e-04
146	7.5458274	443.91644	1e-04
147	6.9399443	440.14847	1e-04
148	5.768398	438.82718	1e-04
149	6.7313585	438.46152	1e-04
150	6.743617	438.56268	1e-04
151	6.9559054	437.80307	1e-04
152	7.4345336	440.37323	1e-04
153	6.9911475	439.53476	1e-04
154	6.771241	436.54074	1e-04
155	5.8908563	438.60306	1e-04
156	5.4923053	435.2285	1e-04
157	6.543362	436.78036	1e-04
158	6.902702	438.51855	1e-04
159	6.036114	438.05307	1e-04
160	5.661739	435.22125	1e-04
161	6.6046853	434.714	1e-04
162	6.076635	435.03226	1e-04
163	5.9536448	433.48355	1e-04
164	6.2130303	435.4339	1e-04
165	6.2734127	436.0206	1e-04
166	6.079458	433.8673	1e-04
167	6.945356	433.94724	1e-04
168	5.624987	435.22662	1e-04
169	5.6014094	434.01315	1e-04
170	5.043251	431.4442	1e-04
171	5.786962	433.5987	1e-04
172	6.281736	433.2438	1e-04
173	5.236861	431.0178	1e-04
174	5.6620765	431.24564	1e-04
175	5.570968	431.03833	1e-04
176	3.7821944	429.34134	1e-04
177	6.3736486	431.75027	1e-04
178	4.672596	428.11258	1e-04
179	5.727773	430.8251	1e-04
180	5.431805	431.95987	1e-04
181	5.0700064	427.85358	1e-04
182	5.1214256	427.24023	1e-04
183	5.227077	428.88773	1e-04
184	4.6969604	428.07605	1e-04
185	5.826272	427.81635	1e-04
