epoch	train/d_loss	train/g_loss	train/lr
0	122.26032	1007.81573	0.00016
1	75.29014	851.0137	0.00016
2	70.26403	791.3346	0.00016
0	121.35817	1004.66315	0.00016
1	73.376686	852.05194	0.00016
2	70.51837	794.2446	0.00016
3	66.43596	760.0249	0.00016
4	65.12227	733.6571	0.00016
5	63.18383	714.9709	0.00016
6	59.406086	700.8637	0.00016
7	56.476254	686.16797	0.00016
8	54.421783	679.7247	0.00016
9	52.335167	670.93634	0.00016
10	49.15081	664.03046	0.00016
11	47.85012	654.7859	0.00016
12	45.565388	646.48047	0.00016
13	42.41438	639.1169	0.00016
14	39.653088	633.8736	0.00016
15	38.142735	628.801	0.00016
16	36.158737	624.2083	0.00016
17	34.286884	620.5932	0.00016
18	34.717243	616.9458	0.00016
19	31.304897	613.4627	0.00016
20	30.067038	610.19073	0.00016
21	29.293436	608.4168	0.00016
22	28.354609	604.0105	0.00016
23	27.240618	598.37976	0.00016
24	25.935316	594.47455	0.00016
25	25.050829	593.4958	0.00016
26	23.556543	591.2981	0.00016
27	24.024828	586.0356	0.00016
28	21.594883	585.71967	0.00016
29	22.749857	583.50507	0.00016
30	22.222755	581.6274	0.00016
31	22.022743	579.11	0.00016
32	20.754316	580.31445	0.00016
33	19.337614	574.73444	0.00016
34	19.069967	572.483	0.00016
35	15.921742	572.3242	0.00016
36	16.329556	571.9687	0.00016
37	14.385433	572.4653	0.00016
38	12.375301	560.9552	0.00016
39	13.448958	561.4399	0.00016
40	12.472149	557.5111	0.00016
41	9.045509	560.828	0.00016
42	10.56377	557.36383	0.00016
43	6.3555427	558.3774	0.00016
44	9.438799	554.84515	0.00016
45	7.375313	555.2603	0.00016
46	7.739385	554.41644	0.00016
47	7.3687224	549.8845	0.00016
48	7.1215644	551.7547	0.00016
49	6.66416	547.93945	0.00016
50	4.8952265	542.2149	0.00016
51	5.448751	543.82776	0.00016
52	6.5327725	542.3896	0.00016
53	5.7643356	541.27405	0.00016
54	4.551203	539.2815	0.00016
55	4.985813	540.03534	0.00016
56	4.6028438	538.9352	0.00016
57	4.1323543	533.49915	0.00016
58	4.62742	534.14874	0.00016
59	4.5498176	531.7738	0.00016
60	4.078608	531.674	0.00016
61	3.945103	529.06683	0.00016
62	3.508731	526.57916	0.00016
63	4.8406544	527.23785	0.00016
64	3.099753	525.7338	0.00016
65	4.2859564	523.3926	0.00016
66	2.865824	522.52185	0.00016
67	3.3155746	521.8835	0.00016
68	3.6336339	521.46924	0.00016
69	2.7475793	519.527	0.00016
70	2.9042406	519.4368	0.00016
71	2.4577951	518.03406	0.00016
72	3.2514544	516.1628	0.00016
73	3.04923	515.9098	0.00016
74	2.673188	513.3072	0.00016
75	2.8860989	513.3	0.00016
76	2.7201838	513.0176	0.00016
77	2.1042707	510.75296	0.00016
78	2.995131	510.2171	0.00016
79	2.6737587	510.57736	0.00016
80	1.5219868	508.30988	0.00016
81	2.957595	507.88043	0.00016
82	2.1751869	505.99637	0.00016
83	2.53479	508.0718	0.00016
84	1.9336158	504.1419	0.00016
85	2.798212	503.4127	0.00016
86	1.4778128	501.1265	0.00016
87	1.8656641	502.36926	0.00016
88	2.358708	502.19208	0.00016
89	2.5175378	501.66473	0.00016
90	1.8916739	500.75916	0.00016
91	2.3615584	498.24927	0.00016
92	1.749904	496.89313	0.00016
93	1.9062501	497.62744	0.00016
94	2.3038898	495.71133	0.00016
95	2.0792284	495.8604	0.00016
96	1.3839734	494.4477	0.00016
97	2.0928135	494.9664	0.00016
98	1.7199011	492.6202	0.00016
99	2.4488928	493.28223	0.00016
100	1.3009391	492.49704	0.00016
101	2.3617141	493.53845	0.00016
102	1.7209369	490.64014	0.00016
103	1.6056885	488.17825	0.00016
104	1.0207553	488.34854	0.00016
105	1.2012724	488.742	0.00016
106	2.4974384	488.67645	0.00016
107	1.6577816	486.8799	0.00016
108	1.9864446	485.96265	0.00016
109	1.3589461	485.53656	0.00016
110	1.7668647	484.41098	0.00016
111	0.88396436	483.1015	0.00016
112	1.5784739	482.45737	0.00016
113	1.6724597	484.19962	0.00016
114	1.5888702	483.22546	0.00016
115	2.313012	483.03897	0.00016
116	1.1448295	479.849	0.00016
117	1.2738315	480.55975	0.00016
118	1.0519856	479.97546	0.00016
119	2.0405579	480.07947	0.00016
120	1.3688365	477.76538	0.00016
121	1.320346	482.28574	0.00016
122	1.1895972	477.33224	0.00016
123	1.1874738	476.55496	0.00016
124	1.9284909	480.05115	0.00016
125	1.003036	475.8773	0.00016
126	1.5006256	474.4303	0.00016
127	1.4074261	473.29196	0.00016
128	0.89035064	473.5692	0.00016
129	0.89810216	474.12933	0.00016
130	1.9852414	474.04745	0.00016
131	0.7569503	472.75116	0.00016
132	1.4400668	473.91705	0.00016
133	1.1730978	471.15753	0.00016
134	0.78746355	470.50555	0.00016
135	1.85841	471.24854	0.00016
136	1.1723775	470.46265	0.00016
137	1.2715276	471.8059	0.00016
138	1.3772478	469.48846	0.00016
139	0.91456413	468.23685	0.00016
140	1.3661369	469.4024	0.00016
141	0.9841224	467.1411	0.00016
142	1.0815135	466.72214	0.00016
143	1.4163921	467.23987	0.00016
144	0.7131618	466.73297	0.00016
145	1.4070874	468.49826	0.00016
146	0.72498727	465.39444	0.00016
147	1.2688707	464.0427	0.00016
148	1.0344216	467.2071	0.00016
149	0.7552148	465.4366	0.00016
146	1.1569068	463.7039	0.00016
147	1.2313243	463.44907	0.00016
148	1.0479015	468.06427	0.00016
149	0.8721185	462.53064	0.00016
150	1.172413	462.01807	0.00016
151	1.0689486	462.08954	0.00016
152	0.7155297	461.144	0.00016
153	0.6137925	460.3572	0.00016
154	1.5585957	461.56818	0.00016
155	0.9923818	460.46716	0.00016
156	0.6225039	459.45602	0.00016
157	1.275985	459.90097	0.00016
158	0.8739448	458.13687	0.00016
159	1.3011571	458.89633	0.00016
160	0.98253304	459.34973	0.00016
161	0.5870285	457.2281	0.00016
162	0.781693	457.85498	0.00016
163	1.328433	458.0559	0.00016
164	0.7463926	456.00146	0.00016
165	1.4070014	456.18127	0.00016
166	1.087022	456.3992	0.00016
167	0.5442434	455.9361	0.00016
168	0.5192887	454.6669	0.00016
169	0.63022774	454.55505	0.00016
170	2.0737565	455.2043	0.00016
171	0.65360063	454.01178	0.00016
172	0.9823757	453.26108	0.00016
173	0.73722064	454.40445	0.00016
174	0.7336839	453.80417	0.00016
175	0.5894404	452.0298	0.00016
176	1.0021179	453.34787	0.00016
177	0.84125876	452.20038	0.00016
178	0.9997601	452.575	0.00016
179	0.5868343	450.8795	0.00016
180	1.2240821	451.5171	0.00016
181	0.5881788	450.6826	0.00016
182	0.62856364	452.0491	0.00016
183	1.0890191	454.86392	0.00016
184	0.59167105	448.27682	0.00016
185	0.52713364	448.95648	0.00016
186	1.1796181	449.50497	0.00016
187	0.6808343	448.76752	0.00016
188	0.68725157	447.45792	0.00016
189	1.1964718	449.21103	0.00016
190	0.6261866	449.39706	0.00016
191	0.77474356	447.8526	0.00016
